Joshua Project People Group Data

PeopleID3,PeopName,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,ROP3,ROP25,ROP25Name,PopulationPGAC,JPScalePGAC,LeastReachedPGAC,FrontierPGAC,CntPGIC,CntUPG,PopulationUPG,CntFPG,PopulationFPG,ROG3Largest,CtryLargest,ROL3PGAC,PrimaryLanguagePGAC,RLG3PGAC,PrimaryReligionPGAC,PercentChristianPGAC,PctChristianRangePGAC,PercentEvangelicalPGAC,PctEvangelicalRangePGAC,PeopleID3General
18385,"A Che",23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",113978,300001,"A Che",42000,1,Y,Y,1,1,42000,1,42000,CH,China,yif,Ache,4,"Ethnic Religions",0.0000,0-0.1%,0.0000,0-0.1%,
18399,A'ou,20,"Southeast Asian Peoples",295,Tai,113993,300380,A'ou,2800,1,Y,Y,1,1,2800,1,2800,CH,China,cmn,"Chinese, Mandarin",4,"Ethnic Religions",0.0000,0-0.1%,0.0000,0-0.1%,
18388,A-Hmao,20,"Southeast Asian Peoples",230,"Miao / Hmong",113981,300135,A-Hmao,449000,5,,,1,0,0,0,0,CH,China,hmd,"Miao, Large Flowery",1,Christianity,80.0000,50-100%,75.0000,50-100%,
10424,Aari,13,"Horn of Africa Peoples",253,Omotic,100496,300002,Aari,558000,5,,,1,0,0,0,0,ET,Ethiopia,aiw,Aari,4,"Ethnic Religions",48.0000,10-50%,46.5300,10-50%,
10119,Abaga,19,"Pacific Islanders",244,"New Guinea",100004,300004,Abaga,200,5,,,1,0,0,0,0,PP,"Papua New Guinea",abg,Wagama,1,Christianity,100.0000,50-100%,20.0000,10-50%,
10120,"Abai Sungai",17,"Malay Peoples",155,Borneo-Kalimantan,100005,300005,"Abai Sungai",1600,1,Y,Y,1,1,1600,1,1600,MY,Malaysia,abf,"Abai Sungai",6,Islam,0.0000,0-0.1%,0.0000,0-0.1%,
10122,Abanyom,22,"Sub-Saharan Peoples",140,Benue,100008,300006,Abanyom,37000,5,,,1,0,0,0,0,NI,Nigeria,abm,Abanyom,1,Christianity,92.0000,50-100%,12.0000,10-50%,
10123,Abasakur,19,"Pacific Islanders",244,"New Guinea",100009,300007,Abasakur,2400,5,,,1,0,0,0,0,PP,"Papua New Guinea",abw,Pal,1,Christianity,90.0000,50-100%,28.0000,10-50%,
10124,Abau,19,"Pacific Islanders",244,"New Guinea",100010,300008,Abau,12000,5,,,1,0,0,0,0,PP,"Papua New Guinea",aau,Abau,1,Christianity,98.0000,50-100%,24.0000,10-50%,
10125,Abaza,12,"Eurasian Peoples",157,Caucasus,100011,300009,Abaza,72000,1,Y,Y,3,3,72000,2,58000,RS,Russia,abq,Abaza,6,Islam,0.0900,0-0.1%,0.0290,0-0.1%,
16152,Abdul,21,"South Asian Peoples",462,"South Asia Muslim - other",111252,300010,Abdal,80300,1,Y,Y,3,3,80300,3,80300,BG,Bangladesh,ben,Bengali,6,Islam,0.0000,0-0.1%,0.0000,0-0.1%,
10126,Abe,22,"Sub-Saharan Peoples",181,Guinean,100013,300011,Abe,350000,4,,,1,0,0,0,0,IV,"Côte d'Ivoire",aba,Abe,1,Christianity,90.0000,50-100%,10.0000,5-10%,
10127,Abidji,22,"Sub-Saharan Peoples",181,Guinean,100014,300012,Abidji,111000,4,,,1,0,0,0,0,IV,"Côte d'Ivoire",abi,Abidji,1,Christianity,92.0000,50-100%,6.0000,5-10%,
10128,Abie,19,"Pacific Islanders",244,"New Guinea",100015,300013,Abie,1700,5,,,1,0,0,0,0,PP,"Papua New Guinea",aby,"Aneme Wake",1,Christianity,92.0000,50-100%,17.0000,10-50%,
10130,Abkhaz,12,"Eurasian Peoples",157,Caucasus,100018,300015,Abkhaz,172600,2,,,6,2,157100,1,150000,TU,"Türkiye (Turkey)",abk,Abkhaz,6,Islam,6.1260,5-10%,0.1050,0.1-2%,
10131,Abnaki-Penobscot,18,"North American Peoples",246,"North American Indigenous",100021,300016,Abnaki-Penobscot,4300,4,,,2,0,0,0,0,CA,Canada,fra,French,1,Christianity,86.6410,50-100%,3.0000,2-5%,
10132,Abo,22,"Sub-Saharan Peoples",347,"Bantu, Northwest",100022,300017,Abo,24000,4,,,1,0,0,0,0,CM,Cameroon,abb,Bankon,1,Christianity,70.0000,50-100%,2.5000,2-5%,
10133,Abong,22,"Sub-Saharan Peoples",140,Benue,100023,300637,Abong,2400,4,,,1,0,0,0,0,NI,Nigeria,abo,Abon,1,Christianity,60.0000,50-100%,7.0000,5-10%,
21369,Abor,21,"South Asian Peoples",475,"South Asia Tribal - other",118189,300019,Abor,1600,2,,,1,0,0,0,0,IN,India,adi,Adi,9,Unknown,15.3840,10-50%,,Unknown,
10134,"Aboriginal Creole",19,"Pacific Islanders",100,"Australian Aboriginal",100025,300573,"Australian Aborigine",7700,5,,,1,0,0,0,0,AS,Australia,rop,Kriol,1,Christianity,90.0000,50-100%,30.0000,10-50%,
11539,"Aboriginal, Detribalized",19,"Pacific Islanders",100,"Australian Aboriginal",102536,300573,"Australian Aborigine",557000,5,,,1,0,0,0,0,AS,Australia,eng,English,1,Christianity,80.0000,50-100%,22.0000,10-50%,
18874,"Aboriginal, Southwest",19,"Pacific Islanders",100,"Australian Aboriginal",114780,309404,"Southwest Australian Aborigine",11000,5,,,1,0,0,0,0,AS,Australia,eng,English,1,Christianity,95.0000,50-100%,27.0000,10-50%,
