Joshua Project People Group Data

ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,Frontier,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PctChristianRange,PercentEvangelical,PctEvangelicalRange,ROP1,PeopleID1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,RegionCode,RegionName,ROG2,Continent,10_40Window,CountOfCountries,IndigenousCode,WorkersNeeded,Latitude,Longitude
AF,Afghanistan,14372,107989,"Afghan, Tajik","Afghan, Tajik",12313000,1,Y,Y,prs,Dari,5,6,Islam,0.010,0-0.1%,0.010,0-0.1%,A005,14,Persian-Median,299,C0211,Tajik,5,"Asia, Central",ASI,Asia,Y,2,Y,246,31.15621,62.14612
AF,Afghanistan,19409,100096,Afshari,Afshari,17000,1,Y,Y,azb,"Azerbaijani, South",5,6,Islam,0.039,0-0.1%,0.039,0-0.1%,A015,24,"Turkic Peoples",126,C0028,Azeri,5,"Asia, Central",ASI,Asia,Y,2,N,1,34.447959999954,69.289760000024
AF,Afghanistan,21454,118270,Aimaq,Aimaq,1796000,1,Y,Y,aiq,Aimaq,0,6,Islam,0.000,0-0.1%,0.000,0-0.1%,A005,14,Persian-Median,268,C0179,Persian,5,"Asia, Central",ASI,Asia,Y,4,Y,36,35.00501,63.128594
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",5100,1,Y,N,abh,"Arabic, Tajiki",0,6,Islam,0.200,0.1-2%,0.200,0.1-2%,A001,10,"Arab World",324,C0237,"Arab World, general",5,"Asia, Central",ASI,Asia,Y,2,N,1,36.9447,66.80422
AF,Afghanistan,10528,100675,Azerbaijani,Azerbaijani,14000,1,Y,Y,azj,"Azerbaijani, North",5,6,Islam,0.000,0-0.1%,0.000,0-0.1%,A015,24,"Turkic Peoples",126,C0028,Azeri,5,"Asia, Central",ASI,Asia,Y,13,N,1,34.4501,69.61334
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",398000,1,Y,Y,bgn,"Balochi, Western",3,6,Islam,0.011,0-0.1%,0.011,0-0.1%,A012,21,"South Asian Peoples",455,A012,Baloch,5,"Asia, Central",ASI,Asia,Y,4,Y,8,30.24139,63.20176
AF,Afghanistan,19423,115168,"Bania (Muslim traditions)","Bania (Muslim traditions)",7300,1,Y,N,urd,Urdu,5,6,Islam,0.230,0.1-2%,0.200,0.1-2%,A012,21,"South Asian Peoples",462,A012,"South Asia Muslim - other",5,"Asia, Central",ASI,Asia,Y,1,N,1,34.375787,69.435276
AF,Afghanistan,10959,101653,Brahui,Brahui,363000,1,Y,N,brh,Brahui,4,6,Islam,0.101,0.1-2%,0.100,0-0.1%,A012,21,"South Asian Peoples",456,A012,Brahui,5,"Asia, Central",ASI,Asia,Y,3,Y,7,30.0908,64.73688
AF,Afghanistan,16585,111780,Changgar,Changgar,3400,1,Y,Y,urd,Urdu,5,6,Islam,0.000,0-0.1%,0.000,0-0.1%,A012,21,"South Asian Peoples",462,A012,"South Asia Muslim - other",5,"Asia, Central",ASI,Asia,Y,3,N,1,34.470761,69.633613
AF,Afghanistan,11510,102467,Darwazi,"Darwazi, Badakhshani",18000,1,Y,Y,prs,Dari,5,6,Islam,0.000,0-0.1%,0.000,0-0.1%,A005,14,Persian-Median,299,C0211,Tajik,5,"Asia, Central",ASI,Asia,Y,1,Y,1,38.05962,70.72609
AF,Afghanistan,19007,114916,Deaf,Deaf,190000,1,Y,Y,afg,"Afghan Sign Language",2,9,Unknown,0.050,0-0.1%,,Unknown,A017,26,Deaf,328,C0252,Deaf,5,"Asia, Central",ASI,Asia,Y,164,Y,4,34.532499999975,69.136605999667
AF,Afghanistan,12741,105087,"Garwi, Kohistani","Garwi, Kohistani",2200,1,Y,Y,gwc,Gawri,3,6,Islam,0.000,0-0.1%,0.000,0-0.1%,A012,21,"South Asian Peoples",462,A012,"South Asia Muslim - other",5,"Asia, Central",ASI,Asia,Y,1,Y,1,35.012132091223,71.448485211923
AF,Afghanistan,17549,112971,"Gujar (Muslim traditions)","Gujar (Muslim traditions)",20000,1,Y,Y,gju,Gujari,3,6,Islam,0.029,0-0.1%,0.029,0-0.1%,A012,21,"South Asian Peoples",462,A012,"South Asia Muslim - other",5,"Asia, Central",ASI,Asia,Y,3,Y,1,35.24842,71.48793
AF,Afghanistan,12076,103743,Hazara,Hazara,3769000,1,Y,Y,haz,Hazaragi,4,6,Islam,0.030,0-0.1%,0.030,0-0.1%,A005,14,Persian-Median,268,C0179,Persian,5,"Asia, Central",ASI,Asia,Y,11,Y,75,34.350389999799,66.941090000403
AF,Afghanistan,20542,116135,Ishkashimi,Ishkashimi,3500,1,Y,Y,isk,Ishkashimi,2,6,Islam,0.060,0-0.1%,0.060,0-0.1%,A005,14,Persian-Median,299,C0211,Tajik,5,"Asia, Central",ASI,Asia,Y,2,Y,1,36.71347,71.563232
