Type,PEID,ROP3,PeopleID3,ROG3,Ctry,JPPeopleGroup,JPPopulation,JPIndigenous,JPROL3,JPPrimaryLanguage,JPRLG3,JPPrimaryReligion,JPScale,JPLeastReached,JP%ChristianAdherent,JP%Evangelical,CPPIPeopleGroup, CPPIPopulation ,CPPIROL,CPPIPrimaryLanguage,CPPIPrimaryReligion,CPPIGSEC,CPPIEvangelicalEngagement
1,24018,109733,14372,AF,Afghanistan,"Afghan, Tajik",11983000,Y,prs,Dari,6,Islam,1,Y,0.01,0.01,Tajik," 10,520,000 ",prs,Dari,Islam - Sunni,2,Engaged
1,23947,100096,19409,AF,Afghanistan,Afshari,16000,N,azb,"Azerbaijani, South",6,Islam,1,Y,0.04,0.04,Afshari," 13,500 ",azb,South Azerbaijani,Islam - Sunni,1,Unengaged
1,23938,118270,21454,AF,Afghanistan,Aimaq,1777000,Y,aiq,Aimaq,6,Islam,1,Y,0.00,0.00,Aimaq," 1,480,000 ",prs,Dari,Islam - Sunni,1,Engaged
1,23949,110770,15356,AF,Afghanistan,"Baloch, Western",393000,Y,bgn,"Balochi, Western",6,Islam,1,Y,0.01,0.01,"Baloch, Western"," 538,000 ",bgn,Western Balochi,Islam - Sunni,1,Engaged
1,23968,106706,13761,AF,Afghanistan,Bengali Muslim Moghal,2500,Y,prs,Dari,6,Islam,1,Y,0.00,0.00,Moghol," 8,600 ",prs,Dari,Islam - Sunni,1,Unengaged
1,23954,101653,10959,AF,Afghanistan,Brahui,359000,Y,brh,Brahui,6,Islam,1,Y,0.10,0.10,Brahui," 534,000 ",brh,Brahui,Islam - Sunni,1,Engaged
1,46988,114916,19007,AF,Afghanistan,Deaf,434000,Y,afg,Afghan Sign Language,6,Islam,1,Y,0.05,,Deaf Afghan," 399,000 ",afg,Afghan Sign Language,Islam - Sunni,0,Unengaged
1,23953,105087,12741,AF,Afghanistan,"Garwi, Kohistani",2100,Y,gwc,Gawri,6,Islam,1,Y,0.00,0.00,Bashkarik," 2,300 ",gwc,Gawri,Islam - Sunni,1,Unengaged
1,23956,112971,17549,AF,Afghanistan,Gujar (Muslim traditions),20000,Y,gju,Gujari,6,Islam,1,Y,0.03,0.03,Gujur Rajasthani," 19,000 ",gju,Gujari,Islam - Sunni,1,Unengaged
1,23957,103743,12076,AF,Afghanistan,Hazara,3728000,Y,haz,Hazaragi,6,Islam,1,Y,0.03,0.03,Hazara," 3,420,000 ",haz,Hazaragi,Islam - Shia,2,Engaged
1,23985,116135,20542,AF,Afghanistan,Ishkashimi,3500,Y,isk,Ishkashimi,6,Islam,1,Y,0.06,0.06,Ishkashimi," 3,000 ",isk,Ishkashimi,Islam - Shia Imami Ismaili,1,Unengaged
1,23962,104950,19437,AF,Afghanistan,Kalash (Chitrali),11000,N,khw,Khowar,6,Islam,1,Y,0.00,0.00,Kho," 11,000 ",khw,Khowar,Islam - Sunni,1,Unengaged
1,23984,103535,18693,AF,Afghanistan,Khik (Wakhi),23000,Y,wbl,Wakhi,6,Islam,1,Y,0.00,0.00,Wakhi," 24,500 ",wbl,Wakhi,Islam - Shia,1,Engaged
1,23963,105550,12933,AF,Afghanistan,Kyrgyz,1400,N,kir,Kyrgyz,6,Islam,1,Y,0.00,0.00,Kyrgyz," 1,300 ",kir,Kyrgyz,Islam - Sunni,1,Engaged
1,23969,106912,13878,AF,Afghanistan,Munji,7700,Y,mnj,Munji,6,Islam,1,Y,0.00,0.00,Munji-Yidgha," 8,300 ",mnj,Munji,Islam - Shia,1,Unengaged
1,23971,101097,10703,AF,Afghanistan,"Nuristani, Narisati",161000,Y,bsh,Kateviri,6,Islam,1,Y,0.10,0.00,Nuristani," 149,000 ",bsh,Kati,Islam - Sunni,1,Engaged
1,23987,107875,14311,AF,Afghanistan,Parachi,12000,Y,prc,Parachi,6,Islam,1,Y,0.00,0.00,Parachi," 14,500 ",prc,Parachi,Islam - Sunni,1,Unengaged
1,23990,107474,14042,AF,Afghanistan,"Pashayi, Northwest",69000,Y,glh,"Pashai, Northwest",6,Islam,1,Y,0.00,0.00,Pashayi," 105,000 ",glh,Northwest Pashai,Islam - Sunni,1,Engaged
1,43767,107909,14256,AF,Afghanistan,"Pashtun, Northern",4539000,Y,pbu,"Pashto, Northern",6,Islam,1,Y,0.01,0.01,"Pashtun, Eastern"," 2,645,000 ",pbu,Northern Pashto,Islam - Sunni,3,Engaged
1,24009,109502,14327,AF,Afghanistan,"Pashtun, Southern",8746000,Y,pbt,"Pashto, Southern",6,Islam,1,Y,0.02,0.02,"Pashtun, Southern"," 12,950,000 ",pbt,Southern Pashto,Islam - Sunni,1,Engaged
1,24002,107987,14371,AF,Afghanistan,Persian,738000,N,pes,"Persian, Iranian",6,Islam,1,Y,0.12,0.10,Persian," 117,000 ",pes,Iranian Persian,Islam - Shia,1,Engaged
1,24006,108182,14483,AF,Afghanistan,Punjabi,6600,Y,pan,"Punjabi, Eastern",6,Islam,1,Y,1.00,0.30,Punjabi," 8,400 ",pan,Eastern Panjabi,Islam - Sunni,1,Unengaged
1,24010,108231,14498,AF,Afghanistan,Qazilbash,333000,Y,prs,Dari,6,Islam,1,Y,0.00,0.00,Qizilbash," 350,000 ",prs,Dari,Islam - Shia,1,Unengaged
1,23964,102682,11597,AF,Afghanistan,"Romani, Domari",2100,N,rmt,Domari,6,Islam,1,Y,0.02,0.00,Kowli Gypsy," 13,000 ",rmt,Domari,Islam - Sunni,1,Unengaged
1,24012,108647,14727,AF,Afghanistan,Sanglechi,3100,Y,sgy,Sanglechi,6,Islam,1,Y,0.00,0.00,Sanglechi," 2,200 ",sgy,Sanglechi,Islam - Shia,1,Unengaged
1,24013,108746,14782,AF,Afghanistan,Sau,5400,Y,sdg,Savi,6,Islam,1,Y,0.00,0.00,Sau," 8,500 ",sdg,Savi,Islam - Sunni,1,Unengaged
1,23986,108967,14921,AF,Afghanistan,Shughni,50000,Y,sgh,Shughni,6,Islam,1,Y,0.00,0.00,Shughni," 62,000 ",sgh,Shughni,Islam - Shia,1,Engaged
1,24015,108970,14924,AF,Afghanistan,Shumashti,1000,Y,sts,Shumashti,6,Islam,1,Y,0.00,0.00,Shumashti," 2,300 ",sts,Shumashti,Islam - Sunni,1,Unengaged
1,24016,109027,14192,AF,Afghanistan,Sindhi,27000,N,snd,Sindhi,6,Islam,1,Y,0.08,0.08,Sindhi," 25,500 ",snd,Sindhi,Islam - Sunni,1,Engaged
1,24023,110306,15654,AF,Afghanistan,Turkmen,1181000,Y,tuk,Turkmen,6,Islam,1,Y,0.00,0.00,Turkmen," 2,105,000 ",tuk,Turkmen,Islam - Sunni,1,Engaged
1,24028,110472,15756,AF,Afghanistan,"Uzbek, Southern",3697000,N,uzs,"Uzbek, Southern",6,Islam,1,Y,0.01,0.01,"Uzbek, Southern"," 4,205,000 ",uzs,Southern Uzbek,Islam - Sunni,1,Engaged
1,704,103338,11880,AL,Albania,Albanian,2676000,Y,aln,"Albanian, Gheg",6,Islam,2,,33.00,0.58,Albanian," 2,580,000 ",aln,Gheg Albanian,Islam - Folk,1,Engaged
1,47633,114916,19007,AL,Albania,Deaf,14000,Y,sqk,Albanian Sign Language,6,Islam,2,,30.47,,Deaf Albanian," 29,500 ",sqk,Albanian Sign Language,Ethnoreligion,1,Engaged
1,49432,114431,18765,AL,Albania,Gorani,34000,Y,srp,Serbian,6,Islam,1,Y,5.00,0.00,Gorani," 3,700 ",bos,Bosnian,Islam - Sunni,1,Unengaged
1,39292,103480,11942,AL,Albania,Greek,27000,N,ell,Greek,1,Christianity,3,,90.00,0.20,Greek," 93,000 ",ell,Greek,Christianity - Eastern Orthodox,1,Unengaged
1,39302,105968,13186,AL,Albania,Macedonian,5300,Y,mkd,Macedonian,1,Christianity,3,,90.00,1.00,Macedonian," 119,000 ",mkd,Macedonian,Christianity - Eastern Orthodox,1,Engaged
1,702,108394,14567,AL,Albania,"Romani, Vlax",7100,N,rmy,"Romani, Vlax",6,Islam,4,,25.00,6.00,"Romani, Vlax"," 7,900 ",rmy,Vlax Romani,Unaffiliated,1,Engaged
1,11251,100226,10379,AG,Algeria,"Algerian, Arabic-speaking",33607000,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.01,0.01,"Arab, Algerian"," 33,520,000 ",arq,Algerian Arabic,Islam - Sunni,1,Engaged
1,11260,102879,11722,AG,Algeria,"Arab, Egyptian",19000,N,arz,"Arabic, Egyptian",6,Islam,2,,11.00,2.00,"Arab, Egyptian"," 21,000 ",arz,Egyptian Arabic,Islam - Sunni,1,Unengaged
1,11264,104056,12247,AG,Algeria,"Arab, Iraqi",4900,N,acm,"Arabic, Mesopotamian",6,Islam,1,Y,0.70,0.70,"Arab, Iraqi"," 8,400 ",arb,Standard Arabic,Islam - Sunni,1,Unengaged
1,42646,106804,13819,AG,Algeria,"Arab, Moroccan",191000,N,ary,"Arabic, Moroccan",6,Islam,1,Y,0.15,0.15,"Arab, Moroccan"," 179,000 ",ary,Moroccan Arabic,Islam - Sunni,1,Engaged
1,42637,102751,11633,AG,Algeria,"Bedouin, Dui-Menia",86000,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.01,0.00,"Bedouin, Dui-Menia"," 83,500 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,42643,105567,12944,AG,Algeria,"Bedouin, Laguat",21000,Y,aao,"Arabic, Algerian Saharan",6,Islam,1,Y,0.00,0.00,"Bedouin, Laguat"," 83,500 ",mey,Hassaniyya,Islam - Sunni,1,Unengaged
1,42648,107028,13922,AG,Algeria,"Bedouin, Nail",41000,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.00,0.00,"Bedouin, Nail"," 39,500 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,42650,108427,14584,AG,Algeria,"Bedouin, Ruarha",87000,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.00,0.00,"Bedouin, Ruarha"," 83,500 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,42651,108988,14938,AG,Algeria,"Bedouin, Sidi",21000,Y,aao,"Arabic, Algerian Saharan",6,Islam,1,Y,0.01,0.00,"Bedouin, Sidi"," 139,000 ",mey,Hassaniyya,Islam - Sunni,1,Unengaged
1,42652,109560,15095,AG,Algeria,"Bedouin, Suafa",138000,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.01,0.00,"Bedouin, Suafa"," 145,000 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,42657,111176,16103,AG,Algeria,"Bedouin, Ziban",21000,Y,aao,"Arabic, Algerian Saharan",6,Islam,1,Y,0.00,0.00,"Bedouin, Ziban"," 323,000 ",mey,Hassaniyya,Islam - Sunni,1,Engaged
1,11254,101223,10774,AG,Algeria,Belbali,3900,Y,kcy,Korandje,6,Islam,1,Y,0.00,0.00,Belbali," 3,700 ",kcy,Korandje,Islam - Sunni,0,Unengaged
1,42636,102070,11321,AG,Algeria,"Berber, Chenoua",108000,Y,cnu,Chenoua,6,Islam,1,Y,0.00,0.00,Chenoua," 105,000 ",cnu,Chenoua,Islam - Sunni,0,Unengaged
1,42638,103014,11199,AG,Algeria,"Berber, Figig",87000,Y,tzm,"Tamazight, Central Atlas",6,Islam,1,Y,0.02,0.00,"Amazigh, Figig"," 84,000 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,11265,104365,12399,AG,Algeria,"Berber, Kabyle",6565000,Y,kab,Kabyle,6,Islam,1,Y,0.25,0.24,Kabyle," 6,540,000 ",kab,Kabyle,Islam - Folk,1,Engaged
1,42645,106536,13669,AG,Algeria,"Berber, Menasser",87000,Y,tzm,"Tamazight, Central Atlas",6,Islam,1,Y,0.00,0.00,"Amazigh, Menasser"," 23,500 ",tzm,Central Atlas Tamazight,Islam - Sunni,1,Unengaged
1,11268,106837,13842,AG,Algeria,"Berber, Mozabite",198000,Y,mzb,Tumzabt,6,Islam,1,Y,0.00,0.00,Mzab," 195,000 ",mzb,Tumzabt,Islam - Folk,1,Unengaged
1,11280,113933,18364,AG,Algeria,"Berber, Ouargla",24000,Y,oua,Tagargrent,6,Islam,1,Y,0.05,0.02,"Amazigh, Wargla"," 23,500 ",oua,Tagargrent,Islam - Sunni,1,Engaged
1,11273,108925,14899,AG,Algeria,"Berber, Shawiya",2428000,Y,shy,Tachawit,6,Islam,1,Y,0.00,0.00,Shawiya," 2,420,000 ",shy,Tachawit,Islam - Sunni,1,Engaged
1,11262,116098,15609,AG,Algeria,"Berber, Taznatit",13000,Y,grr,Taznatit,6,Islam,1,Y,0.01,0.01,"Amazigh, Gourara"," 13,000 ",grr,Taznatit,Islam - Sunni,1,Unengaged
1,11276,110042,15473,AG,Algeria,"Berber, Tidikelt",1100,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.03,0.01,"Amazigh, Tidikelt"," 1,200 ",arq,Algerian Arabic,Islam - Sunni,1,Unengaged
1,49244,103686,19206,AG,Algeria,"Chinese, general",38000,N,cmn,"Chinese, Mandarin",7,Non-Religious,1,Y,1.00,0.80,"Han Chinese, Mandarin"," 53,500 ",cmn,Mandarin Chinese,Unaffiliated - Athiesm,4,Unengaged
